spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho,Rb85_mean,Na23_ppm_mean,Al27_ppm_mean,Si28_ppm_mean,K39_ppm_mean,Ca43_ppm_mean,Ca44_ppm_mean,Rb85_ppm_mean,Sr86_ppm_mean,Sr87_ppm_mean,Sr88_ppm_mean,Pb208_ppm_mean,Th232_ppm_mean,U238_ppm_mean
GM10_DF83-14PC_#20040,1.735127116,0.043252937,0.711848635,0.012713047,0.357467042,-0.731484828,1042271.064,26588.2794,109482.1609,303833.8632,91896.59459,1920.245668,2084.286242,375.5605051,615.4046627,617.5607071,542.1563142,18.59928511,0,4.37E-05
GM10_DF83-14PC_#20041,2.22811854,0.042752888,0.73407875,0.011311356,0.247441668,-0.72382651,1119251.285,13227.98591,110392.7742,303833.8632,118055.6767,2487.409051,2206.282159,387.818104,492.338749,510.1761049,429.0464722,80.2692295,5.27E-05,0
GM10_DF83-14PC_#20089,0.042487151,0.00822748,0.705858241,0.012811006,0.178682436,-0.493619746,36728.65649,62325.99173,144064.9606,303833.8632,4574.578012,36160.67963,37109.88606,0,1087.306894,1082.59094,1080.58702,8.693613125,0,0.001352326
GM10_DF83-14PC_#20090,0.000821985,7.45E-05,0.703127314,0.012462821,-0.056286438,-0.632135278,878.1035088,64932.89994,140284.8849,303833.8632,1954.619883,36014.46673,35629.06156,0.371290549,1279.110385,1269.034953,1279.443517,12.7493881,0,0
GM10_DF83-28PC_#20043,12.96256667,0.229414476,0.759842277,0.013518866,0.385171691,-0.60904832,1493138.88,2722.902932,104542.0984,303833.8632,138996.7569,550.9442011,400.4422142,464.4360037,100.8878016,108.2403379,87.68370719,49.845352,0.000743449,5.35E-05
GM10_DF83-28PC_#20045,36.28806219,1.020219531,0.889085498,0.01711071,0.184015011,-0.711734105,3139031.155,5233.83338,107433.9121,303833.8632,137336.5772,777.4180354,490.3526725,1113.739284,86.53405157,108.2950451,75.19909433,69.18114086,0,0
GM10_DF83-28PC_#20046,60.14098396,1.31010134,0.998347703,0.018824351,0.341708294,-0.671636954,3137785.466,7352.181954,108731.9096,303833.8632,131154.4517,1175.985746,678.9069315,1183.86576,55.51455281,78.12887119,48.16239986,70.11234509,4.75E-05,0
GM10_DF83-28PC_#20047,51.17298912,1.092255837,0.955460152,0.021216282,0.604010952,-0.243115465,2185427.052,5185.581539,106323.5709,303833.8632,135614.4306,761.1471468,377.7945312,866.4971438,47.74830731,64.1306497,40.77664845,77.96598092,6.10E-05,3.10E-05
GM10_DF83-28PC_#20050,4.224702557,0.06680551,0.737072,0.015056681,0.320148944,-0.446226582,906035.0071,7531.147007,108267.5424,303833.8632,128867.5704,449.8851607,328.4699842,353.622805,236.4102838,245.4910915,205.073842,118.1942777,0,0
GM10_DF83-28PC_#20052,25.1358011,0.498156492,0.831973617,0.014986803,0.44262387,-0.597356542,2827615.729,20632.73649,108424.7346,303833.8632,109519.1056,2089.585969,1696.094072,879.4432831,97.6712684,115.5508293,86.30459026,82.74925552,0,0.000333176
GM10_DF83-28PC_#20053,166.3570028,9.275335594,1.502332665,0.044777475,0.827427523,-0.789453845,4357380.395,11344.01669,108101.2741,303833.8632,128815.8185,2411.729446,2412.959796,1398.351327,24.50424415,50.54551364,21.04206924,61.35736435,4.50E-05,0
GM10_DF83-28PC_#20054,73.37355493,1.66297328,0.890209846,0.016693306,0.009986533,-0.206717094,3670482.837,5578.707522,125163.874,303833.8632,129908.7819,710.7865637,622.0456738,1309.796976,50.60019904,63.17092976,44.30019313,34.43562796,5.04E-05,0
GM10_DF83-28PC_#20057,23.75099167,0.434624857,0.824573157,0.013916626,0.407728671,-0.686785927,3116495.34,12580.01663,109713.1805,303833.8632,125383.647,786.1654917,781.2094461,906.5560572,108.4470086,126.3442646,93.92024904,117.3974908,0,1.976478733
GM10_DF83-28PC_#20059,23.92978274,0.429428822,0.83477163,0.014380378,0.35192014,-0.599416848,2576350.022,4568.553339,108399.5425,303833.8632,135329.7904,692.4348239,477.0081231,894.3503389,105.6389438,124.5630914,92.32604812,102.3734829,0,0.000458729
GM10_DF83-28PC_#20095,0.753688572,0.015607165,0.718866639,0.012085803,0.095260596,-0.126988413,204414.3393,58449.97004,157195.8412,303833.8632,12760.76247,45601.11562,46332.33959,106.4527508,396.9920003,402.7412641,343.6744439,30.54402949,8.83E-05,0
GM10_JR104-GC366_#20063,4.892947929,0.097760527,0.734824481,0.011039424,0.521602378,-0.512540552,1081214.151,12524.61725,108474.3475,303833.8632,118387.7523,995.70578,690.7029581,422.0804091,243.4182963,252.3206615,212.7475945,76.17198591,6.16E-05,0
GM10_JR104-GC366_#20065,7.808254571,0.180920341,0.72001425,0.01127758,0.207215792,-0.799550313,1667271.002,14272.63077,105478.2223,303833.8632,122907.3713,988.0194858,819.6779067,474.6188767,172.2997772,175.0879721,149.5759373,51.32859455,0,0.000475067
GM10_JR104-GC366_#20066,2.811383678,0.107612492,0.705146702,0.009946372,0.042139414,-0.9284327,754610.9308,23984.93858,88539.958,303833.8632,46955.15556,6185.352241,5831.456132,210.0588675,208.9388085,208.1861699,181.0464836,22.49142329,20.4481214,2.407262199
GM10_JR104-GC366_#20067,15.5169746,0.287027035,0.730004107,0.013788361,0.250603114,-0.593007978,1363261.582,28419.27561,107254.615,303833.8632,93396.68086,677.4373254,736.3351564,441.0793698,80.74373994,83.3191765,70.1020025,47.02369793,6.24E-05,0.000396147
GM10_JR104-GC366_#20068,4.544658061,0.124753002,0.706178093,0.012377111,0.227785098,-0.810830839,1144341.325,12672.6749,110327.5967,303833.8632,116605.7564,756.3390383,476.170214,372.2734668,231.8778969,231.0131304,199.2775959,5.816599896,0,0
GM10_JR104-GC366_#20069,7.126910818,0.123981159,0.712254643,0.010182123,0.443038697,-0.658437792,1256594.167,21833.89205,106271.8693,303833.8632,108023.4319,1600.475094,1505.979584,388.5724173,153.1258026,153.9780715,133.6604352,22.82128664,4.28E-06,0
GM10_JR104-GC366_#20071,2.488383713,0.038286416,0.721008925,0.011621736,0.420728072,-0.544136168,1267175.461,5140.722936,105229.761,303833.8632,135390.6417,0,296.3610732,383.540572,433.0370039,443.3931443,380.5169021,33.40521508,0,0.000426274
GM10_JR104-GC366_#20072,17.54281852,0.689126563,0.73629645,0.030473858,-0.07226676,-0.666065684,667661.3098,19443.17012,104445.2772,303833.8632,106658.459,759.806002,727.0796744,217.5796525,39.53403298,37.0261549,30.11556713,21.63568976,5.51E-07,2.60E-06
GM10_JR104-GC366_#20075,8.708171793,0.157267398,0.716024898,0.012348811,-0.034378276,-0.536338366,870357.8786,20071.35811,108340.5634,303833.8632,105516.5079,570.6908759,537.0574518,323.1862843,104.4194365,105.3649062,90.90120854,46.94026443,0,0
GM10_JR104-GC366_#20077,6.663003676,0.123077975,0.71839836,0.010844431,0.333951885,-0.685841697,926051.7241,10495.68371,103836.8086,303833.8632,123479.4756,360.4424764,311.8912474,296.1911226,124.5273571,126.4533403,109.7849923,48.25089951,4.65E-06,1.26E-07
GM10_JR104-GC366_#20078,5.894306947,0.084630001,0.716437116,0.010597515,0.320033128,-0.623040607,864390.5185,35865.39934,103935.9543,303833.8632,76190.6949,805.9320653,759.5010163,280.7295506,133.934245,135.5727065,116.3734861,11.44484678,0,0
GM10_JR104-GC366_#20079,13.4797802,0.338233957,0.724962604,0.014519267,0.36834573,-0.683437599,745196.6322,20876.72284,105552.2508,303833.8632,100051.1412,772.2493188,617.7663883,272.6817545,57.31104651,58.58604578,50.21484647,34.03017951,7.39E-05,0
GM10_JR104-GC366_#20080,20.60265483,0.398970423,0.763322668,0.014473252,0.169507069,-0.283725245,1277663.244,3279.789339,216693.9371,303833.8632,114691.2314,133.5147318,43.57179679,523.8207666,71.95813517,77.32878174,63.11858456,14.82140584,0,7.96E-08
GM10_JR104-GC366_#20086,1.373957063,0.02151268,0.707304999,0.011269241,0.342330886,-0.559002069,860563.1173,10080.44132,107599.3926,303833.8632,123514.9178,376.6915299,373.6520152,299.0226575,614.4564058,612.63185,563.6108518,56.16429907,0,0
