## to be used for replicating the Rb-Sr processing only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho,Na23_ppm_mean,K39_ppm_mean,Ca43_ppm_mean
NIST610-lg_04,2.356562587,0.145407745,0.712692969,0.015305615,0.353263639,-0.889783942,95860.2019,452.5078612,82050.83593
GM11_JR141-BC420_#29064,0.080895928,0.008293763,0.70310467,0.018790682,-0.03336151,-0.343479068,31465.53247,27272.96691,53606.11756
GM11_JR141-BC420_#29065,1.11425437,0.097996152,0.709382951,0.018334933,0.340218442,-0.862816074,38475.28889,20736.18558,83965.11463
GM11_JR141-BC420_#29066,0.002179751,0.000195167,0.645372687,0.015226048,-0.11285359,-0.830028739,57448.78666,4919.008532,35377.92439
GM11_JR141-BC420_#29067,0.257694981,0.023842244,0.699967002,0.020458584,-0.024640292,-0.821474217,50385.55136,11093.08442,35285.93365
GM11_JR141-BC412_#29068,0.38352486,0.035607819,0.731873942,0.016554799,-0.127047857,-0.87784365,49386.05181,12691.12016,39671.86318
GM11_JR141-BC412_#29069,0.024564914,0.00243946,0.697841605,0.016033006,0.01096535,-0.850219401,50395.97115,2202.406058,54996.12198
GM11_JR141-BC412_#29070,0.105133735,0.00674428,0.708830579,0.016051426,0.199759995,-0.835147408,55696.77407,7088.229877,32379.91531
GM12_JR104-GC360_#29086,0.935104836,0.114406789,0.704556347,0.02442192,-0.11884757,-0.844620918,53278.47254,18289.01,35346.9714
GM12_JR104-GC360_#29087,0.008729241,0.001119988,0.706210497,0.016765187,-0.118906433,-0.816967776,56946.48778,1354.271842,36408.59859
GM12_JR104-GC360_#29094,0.050224603,0.005075765,0.707233944,0.017737391,-0.108703843,-0.854524922,67571.07683,5433.766026,26295.14655
GM12_JR104-GC360_#29085,0.109272649,0.010963201,0.720027906,0.01927505,-0.143376967,-0.880667103,61384.04969,5565.161401,33080.70313
GM12_JR104-GC360_#29095,0.032345956,0.003716156,0.711704245,0.019366228,0.011287113,-0.760192622,58338.89784,5390.038443,22681.68658
NIST610-lg_05,2.277049324,0.114574611,0.706859269,0.01605544,0.288384669,-0.860675238,101245.0667,462.9299899,85294.34719
GM12_JR104-GC360_#29084,0.0344738,0.002735503,0.706050225,0.014386115,0.133227709,-0.822698437,49012.46126,2960.593466,52357.29724
GM12_JR104-GC360_#29083,0.001916023,0.000482251,0.70796974,0.016799101,-0.016287927,-0.492775152,54034.36386,2193.777777,61129.47232
GM12_JR104-GC360_#29096,0.308915419,0.025083585,0.702708058,0.015529977,-0.183864617,-0.899952356,69467.50911,6835.27483,4744.982974
GM12_JR179-BC512_#29091,0.10290052,0.007359887,0.704885854,0.014770803,0.156482406,-0.86281819,44124.69658,8705.40003,101075.063
GM12_JR179-BC512_#29092,0.077158471,0.007849341,0.6974008,0.021126176,-0.14345471,-0.815243576,56011.29967,5701.695983,35445.33713
GM12_JR179-BC512_#29093,0.005441977,0.000987761,0.704501486,0.023382555,0.051104192,-0.199673211,48111.03855,1649.603473,67574.60821
GM12_JR179-BC512_#29090,0.010292531,0.001411765,0.710519957,0.015026456,0.010320352,-0.813491252,57154.99737,3340.155305,41006.71325
GM12_JR179-BC512_#29089,0.812375342,0.076463285,0.709188408,0.017600126,0.028781912,-0.887910744,51009.17211,20008.42321,30915.38441
GM12_JR179-BC512_#29088,0.037483449,0.003887164,0.701106317,0.020463911,-0.163506528,-0.847979448,58910.012,2486.789934,24873.37828
GM12_JR179-BC512_#29097,0.032642013,0.003238612,0.71721492,0.016922063,-0.052227282,-0.850566667,52138.85115,3433.996154,42423.37747
GM12_JR179-BC470_#29098,0.006533936,0.000994351,0.70550424,0.017414927,0.3768766,-0.639952932,51595.80841,2390.211405,62155.96671
GM12_JR179-BC470_#29099,0.680592673,0.063204883,0.729964933,0.021858529,-0.067436424,-0.855409804,48378.51219,26684.99887,5593.027714
GM12_JR179-BC512_#29100,0.063273875,0.006050787,0.713267707,0.018699575,-0.160089211,-0.83675225,56722.44877,8358.477347,27135.03754
NIST610-lg_06,2.31523726,0.124699047,0.71399445,0.015560203,0.241830052,-0.870680328,98737.90033,479.7206622,83206.72591
NIST610-lg_07,2.3208425,0.134180176,0.706576577,0.016085356,0.122977969,-0.85162517,105393.0681,468.2460994,81609.44958
NIST610-lg_08,2.414898617,0.157768756,0.709120011,0.016421035,0.357657595,-0.880991983,95270.29453,448.439656,80071.79482
