## to be used for replicating the Rb-Sr processing only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho,Na23_ppm_mean,K39_ppm_mean,Ca43_ppm_mean
NIST610-lg_01,2.264416846,0.130880927,0.714866231,0.017807575,0.179597506,-0.852430607,102044.4395,496.7019706,79336.69579
NIST610-lg_02,2.332757199,0.118240518,0.703333557,0.015030895,0.103532093,-0.883695357,94840.31402,440.7154785,78504.88603
NIST610-lg_03,2.413179956,0.135406071,0.711027219,0.014185392,-0.015037315,-0.880012206,103727.8227,475.849794,87882.51657
GM10_JR104-GC366_#29094,0.040601822,0.00405278,0.702374418,0.016160537,0.113656159,-0.841177938,48851.52567,5538.687768,48485.54644
GM10_JR104-GC366_#29097,0.071116524,0.006615698,0.714722278,0.015884121,-0.02841965,-0.525732231,45732.00508,4185.67105,56911.15143
GM10_DF83-28PC_#29095,2.46682914,0.225866348,0.716905266,0.01800764,-0.195335063,-0.899425909,40576.9189,34579.20028,20072.5116
GM10_DF83-28PC_#29111,1.666839415,0.082430111,0.729575235,0.013241012,0.503106746,-0.849945638,62347.21873,4372.994056,2439.323037
GM10_DF83-28PC_#29112,12.33911394,0.93013884,0.813992236,0.016843349,-0.181091503,-0.911202597,59856.16156,10114.90219,4267.480618
GM10_DF83-28PC_#29113,16.16781714,1.345438579,0.793568675,0.016388407,-0.089980877,-0.878413608,62354.13995,7616.997588,4325.525722
GM10_DF83-28PC_#29114,7.742304243,0.514146459,0.756629393,0.011718253,-0.123793958,-0.880376435,62986.62446,7594.352684,2721.960563
GM10_DF83-28PC_#29115,1.009844779,0.075770401,0.722912388,0.015255611,0.047440538,-0.848495042,62948.92649,6543.133944,3172.920756
GM10_DF83-28PC_#29116,0.194954036,0.04756379,0.716344556,0.01268935,-0.007229071,-0.647945583,61380.93328,2108.106127,19117.38569
GM11_NBP2002-27BC_#29061,0.008174727,0.002373598,0.70081847,0.01147106,0.010167303,-0.419107046,33023.49446,2768.817641,90168.01987
GM11_NBP2002-27BC_#29062,0.03311951,0.003797574,0.723400913,0.013358809,0.046030962,-0.78366125,45080.37312,3197.459093,60789.89201
GM11_JR141-BC420_#29063,0.01167126,0.00079459,0.71168649,0.017969491,0.35710086,-0.781320167,38584.16988,3424.57581,92086.69126
