## to be used for replicating the Rb-Sr processing only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho
BB1_01,66.82916389,4.424363448,0.765313057,0.0281814,0.117389896,-0.838597511
BB1_02,266.3052463,12.43744554,0.862135595,0.032539531,0.403085796,-0.592980661
BB1_04,236.7269586,11.97251993,0.841266873,0.037831214,0.189675454,-0.642139203
BB1_05,164.7866051,7.327095389,0.813764992,0.026438556,0.292511788,-0.719302011
BB1_06,84.37178613,8.984548031,0.779893538,0.032575173,0.315729043,-0.80590456
BB1_07,119.4545477,4.619969557,0.817050825,0.025968733,0.245186873,-0.737568571
BB1_08,54.60424587,3.029745277,0.743788156,0.022372646,0.135227063,-0.806755702
BB1_10,78.75941248,3.336404311,0.758924748,0.02081795,0.2876745,-0.710284582
BB1_11,127.5675791,6.002281176,0.794457054,0.025367538,0.086835774,-0.7872715
BB1_12,68.3760239,4.038734183,0.757608925,0.021249192,0.18882156,-0.818533538
BB1_13,67.93779211,3.459694605,0.751517017,0.025588106,0.226063721,-0.829750445
BB1_14,315.5264642,13.55102967,0.921347432,0.043018235,0.284902849,-0.572990239
BB1_15,66.10755366,2.348983872,0.787451335,0.060871405,0.016896911,-0.000899559
BB1_16,56.30305044,3.61143147,0.735991736,0.022703041,-0.004765734,-0.864481218
BB1_17,178.0872932,8.530926447,0.8358571,0.026313764,0.126825923,-0.780848437
BB1_18,159.5009123,7.539010616,0.829717391,0.028035393,0.521275945,-0.672741523
BB1_19,151.5779371,6.914694731,0.803978177,0.027615708,0.183844777,-0.732631289
BB1_20,69.40566146,3.370563334,0.767290572,0.023995866,0.227609915,-0.737197503
BB1_21,340.2725625,14.84575534,0.916872214,0.035577686,0.574163729,-0.599295672
BCR_01,0.448297281,0.049117651,0.705914386,0.018835597,-0.24152928,-0.880229071
BCR_02,0.413065755,0.04288508,0.703012391,0.019716109,-0.088488019,-0.893083686
BCR_03,0.430499349,0.043715814,0.720386432,0.019427896,0.005628443,-0.864228855
BCR_04,0.439796777,0.047456683,0.71057017,0.021114249,-0.186079891,-0.875435212
BCR_05,0.420838627,0.047333443,0.70182717,0.018814105,-0.270564716,-0.86534674
BCR_06,0.409741574,0.037647209,0.705624355,0.017680946,-0.189038496,-0.848716583
DG2_bt_#20086,24365.25693,18442.44998,120.3720911,57.78154472,0.98327443,-0.101510585
DG2_bt_#20087,0.403967099,0.498671337,-0.011104824,0.102166906,-0.029468388,0.006985332
DG2_bt_#20088,5099.279914,361.6836657,19.71915429,0.957374911,0.314232645,-0.701326316
DG2_bt_#20089,10715.48102,21351.3993,46.73194593,77.34047414,0.984196708,-0.095735302
DG2_bt_#20090,17080.96063,32028.78713,75.38898396,105.0098895,0.917320497,0.034704084
DG2_bt_#20091,0.173328688,0.228302179,-0.073418181,0.144531193,0.647121841,-0.004531002
