spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho,Rb85_mean,Na23_ppm_mean,Al27_ppm_mean,Si28_ppm_mean,K39_ppm_mean,Ca43_ppm_mean,Ca44_ppm_mean,Rb85_ppm_mean,Sr86_ppm_mean,Sr87_ppm_mean,Sr88_ppm_mean,Pb208_ppm_mean,Th232_ppm_mean,U238_ppm_mean,StdCorr_Rb87_Sr86s_mean_calibr,ext_sys_errs_2rs_partial_sum_sq,session,grain_name,sample_name,replicate,group,age,age_2s_int,err2s_ext
GM09_NBP2002-34MC_#20053,9.055372236,0.152899845,0.718064748,0.015950106,0.26336766,-0.575125426,NA,9506.856415,96157.15389,303833.8632,127033.6573,1729.753359,354.2560877,502.6456418,165.6578149,170.4322766,164.0341456,55.79343293,0,0,7.904388218018441,0.003582100831773902,2,GM09_NBP2002-34MC_#00053,NBP2002-34MC,0,C,82.60158864764004,125.56088443650299,125.65817305237204
GM09_NBP2002-34MC_#20056,14.44227121,0.372291734,0.743837698,0.016995342,0.259998729,-0.655071933,NA,6680.677515,89784.40557,303833.8632,128964.7928,1672.14944,180.7478329,419.0034572,86.12282757,91.56992827,87.01123954,35.9907519,0,0,12.606584844730497,0.003582100831773902,2,GM09_NBP2002-34MC_#00056,NBP2002-34MC,0,C,179.31993566835692,82.93280212493491,83.624364934372025
GM09_NBP2002-34MC_#20062,3.478847446,0.077119846,0.716040774,0.017093711,0.379466145,-0.483073986,NA,29218.11887,94992.6639,303833.8632,87696.04442,1097.080462,1362.529346,267.2040935,229.3216422,230.4198326,222.8490569,43.74788887,0,0,3.0366681841223366,0.003582100831773902,2,GM09_NBP2002-34MC_#00062,NBP2002-34MC,0,C,173.28448378563152,349.38741775198883,349.54131266599
GM10_DF83-14PC_#20009,2.443325143,0.052648742,0.722993351,0.018093507000000002,0.226306516,-0.655540155,NA,10156.04889,96551.23784,303833.8632,119450.8566,2807.978297,1000.500614,360.328218,443.019887,447.1900409,440.1592122,27.84123146,0,0,2.1327660497862078,0.003582100831773902,2,GM10_DF83-14PC_#00009,DF83-14PC,0,B,449.2713457084787,524.5922747960067,525.28095624544
GM10_DF83-28PC_#20044,6.07971971,0.172962755,0.755356179,0.022165402,0.38752615,-0.558678095,NA,7630.728262,98441.69742,303833.8632,130001.9707,1222.373583,509.8806766,380.9553321,185.9838526,197.2994936,185.680111,109.4838832,0,0,5.306956311914828,0.003582100831773902,2,GM10_DF83-28PC_#00044,DF83-28PC,0,B,559.9076686407188,253.1764405838117,255.38458545691984
GM10_DF83-28PC_#20055,37.40707724,1.261189105,0.885750448,0.024259245,0.26965112,-0.723668593,NA,9577.780417,93646.29095,303833.8632,121829.1577,3697.435074,4513.743399,1201.031305,94.33531118,116.3423236,95.14325493,101.5612208,0,0,32.65244684595887,0.003582100831773902,2,GM10_DF83-28PC_#00055,DF83-28PC,0,B,340.0348438365256,44.496210736016764,48.92942370372273
GM10_DF83-28PC_#20058,57.08077574,1.820741556,0.968505264,0.029951383,0.433306522,-0.620785835,NA,6762.833936,95377.13397,303833.8632,126855.1644,1279.000212,271.929112,1086.590942,57.30889861,77.75444694,56.34893127,101.7900423,0,0,49.825517877762124,0.003582100831773902,2,GM10_DF83-28PC_#00058,DF83-28PC,0,B,326.3854193847101,34.189918749605255,39.376929573707855
GM10_JR104-GC366_#20062,5.048923651,0.132360423,0.720524099,0.019802475,0.424373339,-0.53485255,NA,21017.44617,97473.27885,303833.8632,107991.4768,1241.914228,1103.571394,227.3188626,136.0095766,138.1401482,138.3475806,56.75832576,0,0,4.407179691849726,0.003582100831773902,2,GM10_JR104-GC366_#00062,JR104-GC366,0,E,182.86262814284422,277.99844717764984,278.21379831761567
GM10_JR104-GC366_#20064,6.98136665,0.189140068,0.715765569,0.015705197,0.234318096,-0.709951742,NA,18875.12945,95258.41226,303833.8632,109856.1479,1145.890845,1174.756225,404.9041353,174.9702652,177.3702837,175.9726053,46.14411168,0,0,6.093999325013155,0.003582100831773902,2,GM10_JR104-GC366_#00064,JR104-GC366,0,E,83.58290238811163,160.3037461047235,160.3817818065949
GM10_JR104-GC366_#20073,16.36439661,0.443744388,0.718014938,0.016727812,0.425792576,-0.510769622,NA,9510.675879,97755.83349,303833.8632,125651.3629,1117.24913,526.9448313,485.518546,90.21817182,90.66379266,88.58044378,75.32157473,0,0,14.284398298374368,0.003582100831773902,2,GM10_JR104-GC366_#00073,JR104-GC366,0,E,45.5023310919333,72.59803610494886,72.64909807031798
