## to be used for replicating the Pb isotope clustering only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,208Pb_207Pb_mean,208Pb_207Pb_2SE,206Pb_207Pb_mean,206Pb_207Pb_2SE
GM00_example,2.43643,0.0006438,1.1928,0.000426758
GM00_example,2.44247,0.00038838,1.19209,0.000169684
GM00_example,2.4601,0.00136897,1.19405,0.00107512
GM00_example,2.46154,0.000384707,1.19289,0.000261397
GM00_example,2.4603,0.00176939,1.19255,0.00121727
GM00_example,2.46639,0.00218115,1.19322,0.0018155
GM00_example,2.45772,0.000383481,1.18926,0.000224366
GM00_example,2.45757,0.000251738,1.18835,0.000144089
GM00_example,2.45833,0.000419089,1.19394,0.000300362
GM00_example,2.45875,0.000256229,1.19184,0.000168575
GM00_example,2.45829,0.000318329,1.18944,0.000203552
GM00_example,2.4392,0.000521574,1.19234,0.000295635
GM00_example,2.47407,0.0039039,1.20412,0.00272462
GM00_example,2.47399,0.000987472,1.20734,0.000860768
GM00_example,2.47077,0.00181442,1.20328,0.00137863
GM00_example,2.46481,0.000308086,1.19942,0.000223134
GM00_example,2.462,0.000258798,1.19364,0.00016179
GM00_example,2.48051,0.00607089,1.22235,0.00384097
GM00_example,2.46905,0.00130743,1.20117,0.00134449
GM00_example,2.46436,0.0039838,1.22253,0.00951174
GM00_example,2.4629,0.000285873,1.19734,0.000218171
GM00_example,2.46246,0.00154292,1.19605,0.00161803
GM00_example,2.47438,0.0013935,1.23256,0.00226859
GM00_example,2.46629,0.000523414,1.19915,0.000437885
GM00_example,2.46686,0.000448968,1.2004,0.000262537
GM00_example,2.46563,0.000747077,1.20364,0.00043669
GM00_example,2.46501,0.00146531,1.19821,0.00270659
GM00_example,2.46625,0.000413371,1.19873,0.00025457
GM00_example,2.46436,0.00028008,1.19809,0.000203523
GM00_example,2.4653,0.000489233,1.19892,0.000248096
GM00_example,2.46449,0.000506615,1.19858,0.000238665
GM00_example,2.46566,0.000524015,1.19896,0.000324022
GM00_example,2.46463,0.000332854,1.19864,0.000242961
GM00_example,2.46743,0.00126008,1.19988,0.000961404
GM00_example,2.46456,0.00178131,1.20557,0.00780138
GM00_example,2.47171,0.00072461,1.20307,0.000462025
GM00_example,2.47384,0.00102528,1.20363,0.000371727
GM00_example,2.4636,0.000532513,1.19417,0.000218344
GM00_example,2.46022,0.000321418,1.19481,0.000198073
GM00_example,2.4586,0.000658274,1.19608,0.000514919
GM00_example,2.45159,0.000282087,1.18947,0.000179986
GM00_example,2.46555,0.00117187,1.20196,0.000687881
GM00_example,2.45712,0.000282749,1.19244,0.000126944
GM00_example,2.45865,0.00121676,1.24899,0.000635423
GM00_example,2.45949,0.000335984,1.1992,0.000942713
GM00_example,2.47829,0.000347007,1.19397,0.000227933
GM00_example,2.45744,0.000482563,1.19562,0.000281243
GM00_example,2.46321,0.000357549,1.22174,0.000293503
GM00_example,2.46288,0.000456113,1.19617,0.000232126
GM00_example,2.45746,0.000304415,1.1925,0.000150301
GM00_example,2.46382,0.000206149,1.20038,0.000136754
GM00_example,2.46025,0.000169706,1.19763,0.000150061
GM00_example,2.4421,0.00103641,1.35709,0.000814537
GM00_example,2.46011,0.00020595,1.19403,0.000141943
GM00_example,2.45951,0.000254317,1.19264,0.000145333
