## to be used for replicating the Rb-Sr processing only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho
GM00_example,13.74969701,0.588804515,0.736280432,0.013545946,0.224130242,-0.8878274
GM00_example,58.40332397,2.695738526,1.088927234,0.043413405,0.577847216,-0.514994888
GM00_example,4.769323043,0.118745585,0.72122261,0.015657764,0.056281867,-0.751894604
GM00_example,16.00409752,0.4360545,0.735172225,0.016924598,0.359281591,-0.691689762
GM00_example,1.683470718,0.043235591,0.719979648,0.017958937,0.347378724,-0.609858245
GM00_example,3.749900837,0.098067137,0.739538901,0.016125527,0.280132843,-0.748884151
GM00_example,9.075609523,0.160434472,0.709219865,0.01678237,0.244659477,-0.554475997
GM00_example,14.71500059,0.420017612,0.745527453,0.0178101,0.341590853,-0.628053268
GM00_example,3.502161602,0.078802551,0.708032507,0.016899569,0.384832828,-0.546036798
GM00_example,11.35583019,0.325347474,0.783879619,0.02011118,0.351468052,-0.609304186
GM00_example,39.81095513,1.12308532,0.93742814,0.031417844,0.722602873,-0.167849707
GM00_example,13.59102429,0.429301478,0.792966605,0.022852551,0.379134885,-0.680335853
GM00_example,29.69438794,0.737799025,0.910417185,0.029758215,0.584482238,-0.26587237
GM00_example,14.7616989,0.47127327,0.794696167,0.023737637,0.512694524,-0.61049181
GM00_example,43.13009752,0.997559558,0.995166358,0.026346252,0.49215458,-0.382684023
GM00_example,2.42633783,0.056985353,0.717531284,0.019009006,0.204830549,-0.637210467
GM00_example,5.99093949,0.173414386,0.748402484,0.023021148,0.404682316,-0.520313968
GM00_example,38.02368906,1.225639734,0.889312842,0.024373543,0.357398939,-0.695625926
GM00_example,57.85410482,2.110331725,0.974724563,0.032778516,0.422430972,-0.641430153
